"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","C_price_cat","Pasture","Rum_feed_grass","Mon_grass_feed","C_price"
"8","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,"No",0.20911754660339,0.659518352301189,0.260179971516898,0
"14","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,"No",0.436933374079467,0.114095471823127,0.507922993141012,0
"15","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","BAU","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.781589520534003,0.812083277662155,0.428856300139999,0
"19","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Yield)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.187726347022668,0.812083277662155,0.428856300139999,0
"20","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Volat)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.781589520534003,0.812083277662155,0.428856300139999,0
"21","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Loss)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.781589520534003,0.812083277662155,0.428856300139999,0
"22","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",-0.595549096882483,-0.388612864299549,0.0716297136909507,0
"120","Odegard & van der Voet (2014)","2050","Odegard & van der Voet (2014)","Agriculture","A1","FAO - other",2285.71428571429,-991.285714285714,"No",-0.43125,-0.0960149589132208,0.0569097496080817,0
"122","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","INT PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",-0.0658536585365852,0.978269224860769,-0.800720658408691,0
"132","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","EL PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.0268545902661141,1.30037485502688,0.966335034568763,0
"134","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: INT PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",-0.292987804878049,0.602371920030752,-0.80972872909354,0
"144","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: EL PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.0237804878048782,0.948138087553701,0.915916187787711,0
"146","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: INT PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",-0.0658536585365852,0.978269224860769,-0.800720658408691,0
"156","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: EL PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.0268545902661141,1.30037485502688,0.966335034568763,0
"158","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR INT PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",-0.292987804878049,0.602371920030752,-0.80972872909354,0
"168","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR EL PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.0237804878048782,0.948138087553701,0.915916187787711,0
"170","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","No productivity gains after 2010","FAO - Permanent meadows and pastures",3322,45,"No",0.661950632149308,0.855411247997623,0.4,0
"297","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,"No",0.543388522049001,0.460261158155473,-1,0
"298","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,"No",0.520508961377868,0.460261158155473,-1,0
